"year","title","url","index","img_file","character_name"
"1965","Per qualche dollaro in più","http://www.imdb.com/title/tt0059578/?ref_=nm_flmg_act_48","48","img/img48.jpg","Monco"
"1964","Per un pugno di dollari","http://www.imdb.com/title/tt0058461/?ref_=nm_flmg_act_50","49","img/img49.jpg","Joe"
"1958","Ambush at Cimarron Pass","http://www.imdb.com/title/tt0051349/?ref_=nm_flmg_act_53","50","img/img50.jpg","Keith Williams"
"1958","Lafayette Escadrille","http://www.imdb.com/title/tt0051840/?ref_=nm_flmg_act_54","51","img/img51.jpg","George Moseley"
"1957","Escapade in Japan","http://www.imdb.com/title/tt0050363/?ref_=nm_flmg_act_56","52","img/img52.jpg","Dumbo Pilot (uncredited)"
"1956","Away All Boats","http://www.imdb.com/title/tt0048971/?ref_=nm_flmg_act_59","53","img/img53.jpg","Corpsman (uncredited)"
"1956","The First Traveling Saleslady","http://www.imdb.com/title/tt0049212/?ref_=nm_flmg_act_60","54","img/img54.jpg","Lt. Jack Rice"
"1956","Star in the Dust","http://www.imdb.com/title/tt0049793/?ref_=nm_flmg_act_61","55","img/img55.jpg","Tom - Ranch Hand (uncredited)"
"1956","Never Say Goodbye","http://www.imdb.com/title/tt0049547/?ref_=nm_flmg_act_63","56","img/img56.jpg","Will (uncredited)"
"1955","Tarantula","http://www.imdb.com/title/tt0048696/?ref_=nm_flmg_act_64","57","img/img57.jpg","Jet Squadron Leader (uncredited)"
"1955","Lady Godiva of Coventry","http://www.imdb.com/title/tt0048279/?ref_=nm_flmg_act_65","58","img/img58.jpg","First Saxon (uncredited)"
"1955","Francis in the Navy","http://www.imdb.com/title/tt0048092/?ref_=nm_flmg_act_66","59","img/img59.jpg","Jonesey"
"1955","Revenge of the Creature","http://www.imdb.com/title/tt0048554/?ref_=nm_flmg_act_68","60","img/img60.jpg","Jennings (uncredited)"
