"year"	"title"	"url"	"index"	"img_file"	"character_name"	"key"
"1973"	"High Plains Drifter"	"http://www.imdb.com/title/tt0068699/?ref_=nm_flmg_act_35"	"35"	"Clint Eastwood/img35.jpg"	"The Stranger"	"highplainsdrifter"
"1972"	"Joe Kidd"	"http://www.imdb.com/title/tt0068768/?ref_=nm_flmg_act_36"	"36"	"Clint Eastwood/img36.jpg"	"Joe Kidd"	"joekidd"
"1971"	"Dirty Harry"	"http://www.imdb.com/title/tt0066999/?ref_=nm_flmg_act_37"	"37"	"Clint Eastwood/img37.jpg"	"Harry"	"dirtyharry"
"1971"	"Play Misty for Me"	"http://www.imdb.com/title/tt0067588/?ref_=nm_flmg_act_38"	"38"	"Clint Eastwood/img38.jpg"	"Dave"	"playmistyforme"
"1971"	"The Beguiled"	"http://www.imdb.com/title/tt0066819/?ref_=nm_flmg_act_39"	"39"	"Clint Eastwood/img39.jpg"	"John McBurney"	"thebeguiled"
"1970"	"Kelly's Heroes"	"http://www.imdb.com/title/tt0065938/?ref_=nm_flmg_act_40"	"40"	"Clint Eastwood/img40.jpg"	"Kelly"	"kellysheroes"
"1970"	"Two Mules for Sister Sara"	"http://www.imdb.com/title/tt0065134/?ref_=nm_flmg_act_41"	"41"	"Clint Eastwood/img41.jpg"	"Hogan"	"twomulesforsistersara"
"1969"	"Paint Your Wagon"	"http://www.imdb.com/title/tt0064782/?ref_=nm_flmg_act_42"	"42"	"Clint Eastwood/img42.jpg"	"Pardner"	"paintyourwagon"
"1968"	"Where Eagles Dare"	"http://www.imdb.com/title/tt0065207/?ref_=nm_flmg_act_43"	"43"	"Clint Eastwood/img43.jpg"	"Schaffer"	"whereeaglesdare"
"1968"	"Coogan's Bluff"	"http://www.imdb.com/title/tt0062824/?ref_=nm_flmg_act_44"	"44"	"Clint Eastwood/img44.jpg"	"Coogan"	"coogansbluff"
"1968"	"Hang 'Em High"	"http://www.imdb.com/title/tt0061747/?ref_=nm_flmg_act_45"	"45"	"Clint Eastwood/img45.jpg"	"Marshal Jed Cooper"	"hangemhigh"
"1967"	"Le streghe"	"http://www.imdb.com/title/tt0061037/?ref_=nm_flmg_act_46"	"46"	"Clint Eastwood/img46.jpg"	"Carlo (Segment \"Sera Come Le Altre, Una\")"	"lestreghe"
"1966"	"Il buono, il brutto, il cattivo"	"http://www.imdb.com/title/tt0060196/?ref_=nm_flmg_act_47"	"47"	"Clint Eastwood/img47.jpg"	"Blondie"	"ilbuonoilbruttoilcattivo"
"1965"	"Per qualche dollaro in pi√π"	"http://www.imdb.com/title/tt0059578/?ref_=nm_flmg_act_48"	"48"	"Clint Eastwood/img48.jpg"	"Monco"	"perqualchedollaroinpi„π"
"1964"	"Per un pugno di dollari"	"http://www.imdb.com/title/tt0058461/?ref_=nm_flmg_act_50"	"49"	"Clint Eastwood/img49.jpg"	"Joe"	"perunpugnodidollari"
"1958"	"Ambush at Cimarron Pass"	"http://www.imdb.com/title/tt0051349/?ref_=nm_flmg_act_53"	"50"	"Clint Eastwood/img50.jpg"	"Keith Williams"	"ambushatcimarronpass"
"1958"	"Lafayette Escadrille"	"http://www.imdb.com/title/tt0051840/?ref_=nm_flmg_act_54"	"51"	"Clint Eastwood/img51.jpg"	"George Moseley"	"lafayetteescadrille"
"1957"	"Escapade in Japan"	"http://www.imdb.com/title/tt0050363/?ref_=nm_flmg_act_56"	"52"	"Clint Eastwood/img52.jpg"	"Dumbo Pilot (uncredited)"	"escapadeinjapan"
"1956"	"Away All Boats"	"http://www.imdb.com/title/tt0048971/?ref_=nm_flmg_act_59"	"53"	"Clint Eastwood/img53.jpg"	"Corpsman (uncredited)"	"awayallboats"
"1956"	"The First Traveling Saleslady"	"http://www.imdb.com/title/tt0049212/?ref_=nm_flmg_act_60"	"54"	"Clint Eastwood/img54.jpg"	"Lt. Jack Rice"	"thefirsttravelingsaleslady"
"1956"	"Star in the Dust"	"http://www.imdb.com/title/tt0049793/?ref_=nm_flmg_act_61"	"55"	"Clint Eastwood/img55.jpg"	"Tom - Ranch Hand (uncredited)"	"starinthedust"
"1956"	"Never Say Goodbye"	"http://www.imdb.com/title/tt0049547/?ref_=nm_flmg_act_63"	"56"	"Clint Eastwood/img56.jpg"	"Will (uncredited)"	"neversaygoodbye"
"1955"	"Tarantula"	"http://www.imdb.com/title/tt0048696/?ref_=nm_flmg_act_64"	"57"	"Clint Eastwood/img57.jpg"	"Jet Squadron Leader (uncredited)"	"tarantula"
"1955"	"Lady Godiva of Coventry"	"http://www.imdb.com/title/tt0048279/?ref_=nm_flmg_act_65"	"58"	"Clint Eastwood/img58.jpg"	"First Saxon (uncredited)"	"ladygodivaofcoventry"
"1955"	"Francis in the Navy"	"http://www.imdb.com/title/tt0048092/?ref_=nm_flmg_act_66"	"59"	"Clint Eastwood/img59.jpg"	"Jonesey"	"francisinthenavy"
"1955"	"Revenge of the Creature"	"http://www.imdb.com/title/tt0048554/?ref_=nm_flmg_act_68"	"60"	"Clint Eastwood/img60.jpg"	"Jennings (uncredited)"	"revengeofthecreature"
